δωδεκάωρονδιάστημα#δωδεκάωρον διάστημα
καὶσυναγομέναις#καὶ συναγομέναις
ἔμπροσθενἀποδεδειγμένοις#ἔμπροσθεν ἀποδεδειγμένοις
μεσημβρίαντὴν#μεσημβρίαν τὴν
ἡμῖνκαὶ#ἡμῖν καὶ
ἀποστάσειςτηροῦντες#ἀποστάσεις τηροῦντες
ἀνατολὰςκίνησιν#ἀνατολὰς κίνησιν
ἀνδρὶφιλοπόνῳ#ἀνδρὶ φιλοπόνῳ
τοῦἀεὶ#τοῦ ἀεὶ
ἀνατολῆςμέχρι#ἀνατολῆς μέχρι
ἐτηροῦμενὡσαύτως#ἐτηροῦμεν ὡσαύτως
ὁἐν#ὁ ἐν
ἔτητῷ#ἔτη τῷ
αἴσθησιντῆς#αἴσθησιν τῆς
ἵναδιὰ#ἵνα διὰ
μεσημβρίαςτῆς#μεσημβρίας τῆς
ταῖςτοσαύταις#ταῖς τοσαύταις
καὶδοθείσης#καὶ δοθείσης
δὲκαὶ#δὲ καὶ
καὶληφθέντος#καὶ ληφθέντος
δὲμοίρᾳ#δὲ μοίρᾳ
φησὶναὐτὴν#φησὶν αὐτὴν
διὰμερόης#διὰ μερόης
τῶνκλιμάτων#τῶν κλιμάτων
τῶνδιηγμένων#τῶν διηγμένων
ἐξἀνάγκης#ἐξ ἀνάγκης
καὶαὐτὴ#καὶ αὐτὴ
διπλασίωνἐστὶν#διπλασίων ἐστὶν
καταγεγραμμένηντῆς#καταγεγραμμένην τῆς
φιλοσοφίαςἀπὸ#φιλοσοφίας ἀπὸ
οὕτωςμόνως#οὕτως μόνως
ἑκάτερατὰ#ἑκάτερα τὰ
ἔτιπλείω#ἔτι πλείω
δὲτὰς#δὲ τὰς
καὶσκοπὸν#καὶ σκοπὸν
πάντωνσφαίρας#πάντων σφαίρας
κἂνἡ#κἂν ἡ
μέγεθοςὑπὸ#μέγεθος ὑπὸ
ἢπάντα#ἢ πάντα
νυκτὸςὁ#νυκτὸς ὁ
ὑπεράνωσκιασθῇ#ὑπεράνω σκιασθῇ
μὲνβόρειον#μὲν βόρειον
δι'ἄλλων#δι' ἄλλων
θεωρίανἐκεῖναί#θεωρίαν ἐκεῖναί
μίανὥραν#μίαν ὥραν
τὰςταύταις#τὰς ταύταις
διδύμωνἐπ'#διδύμων ἐπ'
παρόδωνκαταλαμβανόμεθα#παρόδων καταλαμβανόμεθα
