ΑΒΓΔδιά#<rs>ΑΒΓΔ</rs> διά
ΑΒΓΔκαὶ#<rs>ΑΒΓΔ</rs> καὶ
ΑΒΓΔμεσημβρινῷ#<rs>ΑΒΓΔ</rs> μεσημβρινῷ
ΑΒΓΔἐπὶ#<rs>ΑΒΓΔ</rs> ἐπὶ
ΑΒΔγωνία#<rs>ΑΒΔ</rs> γωνία
ΑΒεὐθεῖα#<rs>ΑΒ</rs> εὐθεῖα
ΑΒκαὶ#<rs>ΑΒ</rs> καὶ
ΑΒπεριφερείας#<rs>ΑΒ</rs> περιφερείας
ΑΓεὐθειῶν#<rs>ΑΓ</rs> εὐθειῶν
ΑΓεὐθείας#<rs>ΑΓ</rs> εὐθείας
ΑΓεὐθεῖα#<rs>ΑΓ</rs> εὐθεῖα
ΑΓμοῖραν#<rs>ΑΓ</rs> μοῖραν
ΑΔΖγωνία#<rs>ΑΔΖ</rs> γωνία
ΑΕΔκαὶ#<rs>ΑΕΔ</rs> καὶ
ΑΕλόγος#<rs>ΑΕ</rs> λόγος
ΑΕπρὸς#<rs>ΑΕ</rs> πρὸς
ΑΕἔσται#<rs>ΑΕ</rs> ἔσται
ΑΗΕκύκλος#<rs>ΑΗΕ</rs> κύκλος
ΑΗΘγωνίαν#<rs>ΑΗΘ</rs> γωνίαν
ΑΗλόγος#<rs>ΑΗ</rs> λόγος
ΑΗπεριφέρειαν#<rs>ΑΗ</rs> περιφέρειαν
ΒΑἐλάσσων#<rs>ΒΑ</rs> ἐλάσσων
ΒΓπεριφερειῶν#<rs>ΒΓ</rs> περιφερειῶν
ΒΓπεριφερείας#<rs>ΒΓ</rs> περιφερείας
ΒΓπεριφέρεια#<rs>ΒΓ</rs> περιφέρεια
ΒΔΑτῇ#<rs>ΒΔΑ</rs> τῇ
ΒΔΕγωνία#<rs>ΒΔΕ</rs> γωνία
ΒΔΖὀρθογώνιον#<rs>ΒΔΖ</rs> ὀρθογώνιον
ΒΔβάσει#<rs>ΒΔ</rs> βάσει
ΒΔδεικτέον#<rs>ΒΔ</rs> δεικτέον
ΒΖΕκύκλου#<rs>ΒΖΕ</rs> κύκλου
ΒΖκαὶ#<rs>ΒΖ</rs> καὶ
ΒΖπεριφερείας#<rs>ΒΖ</rs> περιφερείας
ΒΖπρὸς#<rs>ΒΖ</rs> πρὸς
ΒΖἄρα#<rs>ΒΖ</rs> ἄρα
ΒΘἐφ'#<rs>ΒΘ</rs> ἐφ'
Βκαὶ#<rs>Β</rs> καὶ
Βσημεῖον#<rs>Β</rs> σημεῖον
ΓΑπρὸς#<rs>ΓΑ</rs> πρὸς
ΓΔΕτρίπλευρον#<rs>ΓΔΕ</rs> τρίπλευρον
ΓΔκαὶ#<rs>ΓΔ</rs> καὶ
ΓΔπρὸς#<rs>ΓΔ</rs> πρὸς
ΓΔτεμνούσας#<rs>ΓΔ</rs> τεμνούσας
ΓΔτετράγωνον#<rs>ΓΔ</rs> τετράγωνον
ΓΔτέμνειν#<rs>ΓΔ</rs> τέμνειν
ΓΕΖκαὶ#<rs>ΓΕΖ</rs> καὶ
ΓΕπρὸς#<rs>ΓΕ</rs> πρὸς
ΓΖπρὸς#<rs>ΓΖ</rs> πρὸς
ΓΗΒσυναμφοτέρων#<rs>ΓΗΒ</rs> συναμφοτέρων
ΓΗΒἴσαι#<rs>ΓΗΒ</rs> ἴσαι
ΓΚθερινὴ#<rs>ΓΚ</rs> θερινὴ
ΓΛπρὸς#<rs>ΓΛ</rs> πρὸς
ΓΝὁμοίως#<rs>ΓΝ</rs> ὁμοίως
Γπόλου#<rs>Γ</rs> πόλου
ΔΒκαὶ#<rs>ΔΒ</rs> καὶ
ΔΒπρὸς#<rs>ΔΒ</rs> πρὸς
ΔΕΗἀλλ'#<rs>ΔΕΗ</rs> ἀλλ'
ΔΖδέδοται#s<r>ΔΖ</r>δέδοται
ΔΗΒἴσαι#<rs>ΔΗΒ</rs> ἴσαι
Δκαὶ#<rs>Δ</rs> καὶ
Δτῇ#<rs>Δ</rs> τῇ
ΕΑἐλάσσονα#<rs>ΕΑ</rs> ἐλάσσονα
ΕΑἤχθω#<rs>ΕΑ</rs> ἤχθω
ΕΒλόγος#<rs>ΕΒ</rs> λόγος
ΕΒτεταρτημόριον#<rs>ΕΒ</rs> τεταρτημόριον
ΕΓοὕτως#<rs>ΕΓ</rs> οὕτως
ΕΓἐαρινόν#<rs>ΕΓ</rs> ἐαρινόν
ΕΔκαὶ#<rs>ΕΔ</rs> καὶ
ΕΗλόγος#<rs>ΕΗ</rs> λόγος
ΕΗπεριφερειῶν#<rs>ΕΗ</rs> περιφερειῶν
ΕΗἀλλ'#<rs>ΕΗ</rs> ἀλλ'
ΕΗἐπεὶ#<rs>ΕΗ</rs> ἐπεὶ
ΕΗἔξωθεν#<rs>ΕΗ</rs> ἔξωθεν
ΕΘΜκαὶ#<rs>ΕΘΜ</rs> καὶ
ΕΛκαὶ#<rs>ΕΛ</rs> καὶ
ΕΛλόγος#<rs>ΕΛ</rs> λόγος
ΕΝἄρα#<rs>ΕΝ</rs> ἄρα
Εγωνιῶν#<rs>Ε</rs> γωνιῶν
ΖΑΔτῇ#<rs>ΖΑΔ</rs> τῇ
ΖΑλόγος#<rs>ΖΑ</rs> λόγος
ΖΒδιπλῆ#<rs>ΖΒ</rs> διπλῆ
